Comments,Happy,Sad,Angry,Disgust,Support,Insightful,Care,Love,Fear,Surprise,Curiosity,Nostalgic,Humor
"R.I.P time,year,life,and money",0,1,0,0,0,0,0,0,0,0,0,0,1
Bro got 1 ticket to heaven real quick,1,0,0,0,0,0,0,0,0,1,0,0,1
Moral: don't run after money bcz everything left behind only you and your deeds go with you,0,0,0,0,0,1,0,0,0,0,0,0,0
when he look sad at that time i feel,0,1,0,0,1,0,0,0,0,0,0,0,0
I don't know why but in Frist I thought that it is telling the story of Narendra Modi,0,0,0,0,0,0,0,0,0,0,1,0,0
Bro really wasted his life for a ride that only needed $5. 😂,0,1,0,0,0,0,0,0,0,1,0,0,1
Bro clogged it so hard it flew him to the moon 😂,0,0,0,0,0,0,0,0,0,1,0,0,1
when you never go school will be like this,0,0,0,0,0,1,0,0,0,0,0,0,1
bro whole life was standing and selling lemonade,0,1,0,0,0,0,0,0,0,1,0,0,1
Dude collected so much coins for a ride😅,0,0,0,0,0,0,0,0,0,1,0,0,1
Be hard worker to fulfill your own Dream and passion ❤😊,0,0,0,0,0,1,1,1,0,0,0,0,0
I cried at the end,0,1,0,0,0,0,1,0,0,0,0,0,0
That's impossible but good video,0,0,0,0,1,0,0,1,0,1,0,0,0
Bro escape matrix,0,0,0,0,0,0,0,0,0,1,0,0,1
never give up until you become papa,0,0,0,0,0,1,1,0,0,0,0,0,1
Nothing makes me sadder than seeing an elder sad,0,1,0,0,0,0,1,0,0,0,0,0,0
Rocket that never taken away for less that 60 year,0,0,0,0,0,0,0,0,0,0,0,0,1
Bro waited 50+ years for money and spending all of them and also why is the rocket still not destroyed,0,0,0,0,0,0,0,0,0,1,0,0,1
He enjoyed anything in his life,0,0,0,0,0,0,0,1,0,0,0,0,0
Ain't no way bro wasted all his life on a ride,0,0,0,0,0,0,0,0,0,1,0,0,1
In December 8th i had a class party for winter vacation and my teacher showed this to us and me and my friends felt so bad😢😢😢😢,0,1,0,0,0,0,0,0,0,0,0,1,0
Never back down never what?😂😂,0,0,0,0,0,0,0,0,0,0,1,0,1
Bro donated rocket like mrbeast,0,0,0,0,0,0,0,0,0,1,0,0,1
"We got a rocket casket before GTA 6 , thats crazy",0,0,0,0,0,0,0,1,0,0,0,0,1
Blud wasted his life for a ride,0,1,0,0,0,0,0,0,0,1,0,0,1
Bro is gonna regret his decision when he reaches outer space and his head explodes.,0,1,0,0,0,0,0,0,0,1,0,0,1
"Bro, I would do anything to act like a kid with my cousins, it would be such a great time though.",0,0,0,0,0,0,1,1,0,0,0,0,1
You guys can be dirty minded but you guys don't know happiness all you guys care about meme or try to make it funny it's not funny it's all about his childhood happiness and he never gave up,0,1,1,1,1,1,1,0,0,0,0,0,0
brother how much do you cost per edit for a normal YouTube video edit?,0,0,0,0,0,0,0,0,0,0,1,0,0
Age is just a number,0,0,0,0,0,1,0,0,0,0,0,0,0
Is it capable of having any apps on it?,0,0,0,0,0,0,0,0,0,0,1,0,0
Why is that laugh bro,0,0,0,0,0,0,0,0,0,0,1,0,1
What's the retail price ?,0,0,0,0,0,0,0,0,0,0,1,0,0
"Nice phone. If there wasn't so much bloatware on it and a decent OS update policy, I would buy these everytime",0,0,0,0,1,0,0,1,0,0,0,0,0
"It is really cool that Samsung manufacturers their phones where Huawei can easily replicate them, saving them a lot of money",0,0,0,0,0,0,0,0,0,0,0,0,1
Oh god thats such a beautiful phone,0,0,0,0,0,0,0,0,0,0,0,0,0
Bro got special monke edition 💀🙏,0,0,0,0,0,0,0,0,0,1,0,0,1
Welcome to the Chinese spy phone,0,0,0,0,0,0,0,0,0,0,0,0,0
I know I ain’t the only one who thought he would put the heels on 😂,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bro has that ""Never gonna give you up"" vibe",0,0,0,0,0,0,0,0,0,0,0,0,1
Got me in the first half not gonna lie 😂😂😂,0,0,0,0,0,0,0,0,0,0,0,0,1
That transition fire is just like that outfit also the fact that he's just randomly walked in,0,0,0,0,0,0,0,0,0,0,0,0,0
That transition was sick! Why is nobody talking about the good red lighting after the transition,0,1,0,0,1,0,0,0,0,1,1,0,0
Bro has so much drip he switched genders and even cloned himself,0,0,0,0,0,0,0,0,0,0,0,0,1
not me who thought they were the same person until he appeared in the back,0,0,0,0,0,0,0,0,0,0,1,0,1
That was the smoothest transition I've ever seen,0,0,0,0,1,0,0,0,0,1,0,0,0
That transition was cleaner than my room,0,0,0,0,1,0,0,0,0,1,0,0,1
That laugh is just perfect for her,0,0,0,0,1,0,0,1,0,0,0,0,0
Joanna is the most humble  heartwarming person to ever  exist!,0,0,0,0,1,0,0,0,0,0,0,0,0
merrick in drag would actually be genuine art.,0,0,0,0,1,1,0,0,0,0,0,0,0
Who thought Merrick was gonna have the boot on?,0,0,0,0,0,0,0,0,0,0,1,0,1
She looks like a queen!,0,0,0,0,1,0,0,0,0,1,0,0,0
NAH CUZ WHO ELSE THOUGHT HE WAS GOING TO PUT THEM ON 💀,0,0,0,0,0,0,0,0,0,0,1,0,1
Why is she DROP DEAD GORGEOUS,0,0,0,0,0,0,0,0,0,0,1,0,0
Bro was asked to move back,0,0,0,0,0,0,0,0,0,1,0,0,1
THAT TRANSITION WAS SO CLEANWHYYY,0,0,0,0,1,0,0,0,0,0,0,0,0
That transition was SMOOTH,0,0,0,0,1,0,0,0,0,0,0,0,0
She’s so elegant,0,0,0,0,1,0,0,1,0,0,0,0,0
She’s absolutely gorgeous!!,0,0,0,0,1,0,0,1,0,0,0,0,0
I've been watching this for 5 hours now The transition is just too smooth,1,0,0,0,1,0,0,0,0,0,1,0,0
the transition is so clean bro,0,0,0,0,1,0,0,0,0,0,0,0,0
That transition was cleaner than my phone screen,0,0,0,0,1,0,0,0,0,1,0,0,1
She is an absolute weapon,0,0,0,0,1,0,0,0,0,0,0,0,1
Man I thought the dude was gonna put those on for a sec,0,0,0,0,0,0,0,0,0,1,0,0,1
The leg kick was extravagant,0,0,0,0,1,0,0,0,0,1,0,0,0
Look at how happy these kids are....I haven't seen a group of Kids smiling like this for a very long time.,1,0,0,0,1,0,1,0,0,0,0,1,0
nobody can deny that man is carved out of actual ebony by a craftsman. amazing!,0,0,0,0,0,1,0,0,0,1,0,0,0
"wow this man is beautiful, and those kids look like they’re having so much fun! I enjoyed this video, thank you, everyone involved!",1,0,0,0,1,0,1,1,0,1,0,0,0
He is really perfect... feels like to watch him on repeat,1,0,0,0,1,0,0,1,0,0,0,0,0
lost me with the egg,0,0,0,0,0,0,0,0,0,0,0,0,1
"For the people freaking out over the egg, certain drinks like cocktails contain egg white to make it taste rich and silky. It’s to texturize it",0,0,0,0,1,1,0,0,0,0,0,0,0
People always forget that Most cakes icing have raw egg whites .,0,0,1,0,1,1,0,0,0,0,0,0,0
"""Everything was going well until the egg arrived""",0,1,0,0,0,0,0,0,0,0,0,0,1
"""911 whats your emergency"" me: ""yeah i think my bartender is putting springs in my drink""",0,0,0,0,0,0,0,0,0,0,0,0,1
Me making the cure of cancer with my moms shampoo and toothpaste,0,0,0,0,0,0,0,0,0,0,0,0,1
9 year old in the bathroom making the cure to cancer:,0,0,0,0,0,0,0,0,0,0,0,0,1
"People are concerned with the egg but, the egg is what created the floating effect.",0,0,1,0,1,1,0,0,0,0,0,0,0
How can people be concerned with the egg but not with the literal spring that he just put inside.,0,0,1,0,1,0,0,0,0,0,1,0,0
What was the purple ice for?,0,0,0,0,0,0,0,0,0,0,1,0,0
bro can make his own elixir collector,0,0,0,0,0,0,0,0,0,0,0,0,1
So delicious  can we eat now?,0,0,0,0,1,0,0,0,0,0,1,0,0
That side clip of the barista goes hard.,0,0,0,0,0,0,0,0,0,0,0,0,1
Damn he knows his stuff very well,0,0,0,0,1,0,0,0,0,1,0,0,0
May i ask what the spring is for?,0,0,0,0,0,0,0,0,0,0,1,0,0
It was the shake for me 😂😂😂 + the slow motion,1,0,0,0,0,0,0,0,0,0,0,0,1
What's the egg doing in there?,0,0,0,0,0,0,0,0,0,0,1,0,0
Genuine question. Is there a course for learning how to be a professional bar tender ?,0,0,0,0,1,0,0,0,0,0,1,0,0
"Soooo….. 
No one else saw Jerry on the tv???",0,0,0,0,0,0,0,0,0,0,1,0,0
bro dances while shaking the drink,0,0,0,0,0,0,0,0,0,1,0,0,0
that ice cube looks yummy,0,0,0,0,1,0,0,0,0,1,0,0,0
Me making potions in the bath as a kid,0,0,0,0,0,0,0,0,0,0,0,0,1
"First we had the grimace shake, now we have the grimace ""shake""",0,0,0,0,0,0,0,0,0,0,0,0,1
"Actually the egg white tastes totally like a cooking cream but less milky, it creates the foam in the top",0,0,0,0,0,1,0,0,0,0,0,0,0
brand new grimace shake lookin fire,0,0,0,0,1,0,0,0,0,0,0,0,0
You can ignore everything except Tom and Jerry,0,0,0,0,1,1,0,0,0,0,0,0,0
Egg and string is main character,0,0,0,0,0,0,0,0,0,0,0,0,0
i thought it was going to be 90% ice and 10% actual drink again,0,0,0,0,0,0,0,0,0,1,0,0,0
the egg was mad aggressively,0,0,0,0,0,0,0,0,0,0,0,0,0
"Imagine someone shoots you 10 times, then you shoot them and they all blame you",0,1,1,0,0,0,0,0,0,1,0,0,1
Innocent children are suffering I think the basic human rights are the right of every human regardless of religion because first of all we are humans we should respect humanity.,0,1,0,0,1,1,1,0,0,0,0,0,0
Finally an American broadcast media says the truth,1,0,0,0,1,0,0,0,0,0,0,0,0
The only ones who truly suffer are the civilians on both sides. This is a humanitarian crisis.,0,1,0,0,0,1,0,0,0,0,0,0,0
I’m not even Palestinian nor Jewish but this is so hard to Watch specially the kid’s suffering,0,1,1,0,0,0,1,0,0,0,0,0,0
If hostages are a concern why are they hurting the place to the ground ???,0,1,0,0,0,1,0,0,0,0,1,0,0
The cowards start WARS and is the innocent the ones that pay the price with suffering.,0,1,1,0,0,1,1,0,1,0,0,0,0
It’s absolutely insane to trap people in a country and then bombard it. Even the most horrific massacres in history once gave a chance for people to escape beforehand,0,1,1,1,0,1,1,0,1,0,0,1,0
Palestinians should protest against Hamas.,0,0,0,0,0,1,0,0,0,0,0,0,0
I am not sure what the truth and nothing but the truth is here: BUT I do see so many innocents on BOTH sides being massacred. Heartbreaking. Senseless.,0,1,1,1,0,0,1,0,0,0,0,0,0
Free palestine🇵🇸,,,,,,,,,,,,,
They need to hold Hamas responsible but they will not.,0,1,1,0,0,1,0,0,0,0,0,0,0
Just remember who fired the first strike. My prayers go out for the people who didn't want this.,0,1,1,0,1,0,1,0,0,0,0,0,0
Which team you on:  Team: 🇮🇱 or Team: 🇵🇸,0,0,0,0,0,0,0,0,0,0,1,0,0
Lord have mercy on the innocent people caught up on both sides.,0,1,0,0,0,0,1,0,0,0,0,0,0
In 30 years everyone will deny supporting Israel but their comments don’t lie.,0,0,0,0,0,1,0,0,0,0,0,0,0
They elected Hamas and are therefore liable.,0,0,1,0,0,0,0,0,0,0,0,0,0
"God, please help all the innocents on both sides!",0,1,0,0,1,0,1,0,1,1,0,0,0
I'm crying right now. These are humans. Mothers fathers and children. Endless suffering. And it will get worse.,0,1,0,0,0,0,1,0,1,0,0,0,0
This just seems like the absolute worst way to go about a problem. These poor civilians. I pray for their safety,0,1,0,0,1,0,1,0,0,0,0,0,0
We stand with Palestine,0,0,0,0,1,0,1,0,0,0,0,0,0
Hamas made the same mistake Japan made in 1941. They didn't fully understand the long-term consequences of their short-sighted invasion.,0,0,1,1,0,1,0,0,0,0,0,1,0
Pray for Palestine,0,0,0,0,1,0,1,0,0,0,0,0,0
Terrorists hide behind innocent people,0,0,1,0,0,1,0,0,1,0,0,0,0
This is not palestine vs Israel this is people vs people.,0,1,0,0,0,1,0,0,0,0,0,0,0
Pray for peace ️,0,0,0,0,1,0,1,0,0,0,0,0,0
That's why you don't associate yourself with terrorism,0,0,0,0,0,1,0,0,0,0,0,0,0
Just say to yourself: How this war started?,0,0,1,0,0,0,0,0,0,0,0,0,0
Palestinian people need to come together and deal with hamas,0,0,0,0,1,1,1,0,0,0,0,0,0
"Open youe eyes, this is not about religion, this is about humanity",0,1,0,0,1,1,1,0,0,0,0,0,0
There's no winners in war😢 It's always the citizens who suffer the most 🙏🏽😢,0,1,0,0,0,1,0,0,1,0,0,0,0
"So YouTube allows this, but I get banned for making fun of someone's weight? The hypocrisy!",0,0,1,0,0,0,0,0,0,1,1,0,0
Prayers for the fish,0,0,0,0,1,0,1,0,0,0,0,0,0
"“Warning, shows violent images “ yep, that water was violent as hell.",0,0,1,1,0,0,0,0,0,0,0,0,1
Violent imagery? The ads for video games are more violent than this.,0,0,1,1,0,0,0,0,0,0,1,0,0
Bro really said nah imma throw a grenade,0,0,0,0,0,0,0,0,0,0,0,0,1
The fish watching in the water like 👀,0,0,0,0,0,0,0,0,0,0,0,0,1
"Terrorists, not militants",0,0,1,0,0,0,0,0,0,0,0,0,0
Fish just swimming in the sea:  Bullet: Hi.,0,1,0,0,0,0,0,0,0,0,0,0,1
Skynews couldn't verify this footage. So why show it?,0,0,0,0,0,1,0,0,0,0,1,0,0
Imagine thinking your going to get shot to death but he just tosses a grenade instead,0,1,0,0,0,0,0,0,1,0,0,0,1
Never have i seen a dude throw a grenade at one dude swimming,0,0,0,0,0,0,0,0,0,1,0,0,1
"caption : no fish was harmed in making of this video
please don't try this at home",0,0,0,0,0,1,0,0,0,0,0,0,1
By sea attack they mean people swimming? What the hell?,0,0,0,0,0,0,0,0,0,1,0,0,0
RIP  to all the fish that were killed with the making of this video.,0,1,0,0,0,0,0,0,0,0,0,0,0
Hamas guy in water: I need human shields and the BBC,0,0,0,0,0,0,0,0,0,0,0,0,1
Americans when they find out it’s called a “school of fish”,0,0,0,0,0,0,0,0,0,0,0,0,1
Why does the media only want to verify the IDFs footage but never Hamas,0,0,0,0,0,0,0,0,0,0,1,0,0
This guy is just shooting water in front of himself,0,0,0,0,0,0,0,0,0,0,0,0,1
So where exactly is the threat? I’m confused,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Catch this life preserver!"" ""Whoops, that was a grenade, see ya!""",0,0,0,0,0,0,0,0,0,0,0,0,1
"If anyone other than these people were doing this, surely it'd be a war crime?",0,0,0,0,0,0,0,0,0,0,1,0,0
Where's the graphic part?,0,0,0,0,0,0,0,0,0,0,1,0,0
Was they on a fishing boat?,0,0,0,0,0,0,0,0,0,0,1,0,0
"To be an “open air prison”, the inmates sure do get a LOT of weapons and ammo.",0,0,0,0,0,1,0,0,0,0,0,0,1
"Shooting fish in a barrel, this is ridiculous and needs to stop .",0,0,1,0,0,0,1,0,0,0,0,0,0
I can’t tell why they shoot water,0,0,0,0,0,0,0,0,0,1,0,0,0
I love short stories with happy endings,0,0,0,0,0,0,0,0,0,0,1,0,0
Where can I watch all the videos?,0,0,0,0,0,0,0,0,0,0,1,0,0
That last guy who he just throws a grenade next to  this brings new meaning to the term sitting ducks,0,1,0,0,0,0,0,0,1,0,0,0,0
So are they shooting down water or someone in the water?,0,0,0,0,0,0,0,0,0,0,1,0,0
Note to self… do not attack Israel 🇮🇱…. Ever!,0,0,1,0,1,0,1,0,0,1,0,0,1
Execution of prisoners is a war crime,0,1,0,0,0,1,0,0,0,0,0,0,0
Where is the fight ?,0,0,0,0,0,0,0,0,0,0,1,0,0
No fish were injured during filming,1,0,0,0,0,0,1,0,0,0,0,0,1
"I didn't see anything that needed a ""Warning""!",0,0,0,0,0,0,0,0,0,1,0,0,0
So hamas Navy is 3 dudes swimming,0,0,0,0,0,0,0,0,0,0,0,0,1
are those munitions environmentally friendly??,0,0,0,0,0,0,0,0,0,0,1,0,0
Did he throw teargas?,0,0,0,0,0,0,0,0,0,0,1,0,0
I’d rather use my phone that actually has a proper screen,0,0,0,0,0,1,0,0,0,0,0,0,0
"The look on everyone’s face around you, as you’re talking to yourself out loud must be priceless",,,,,,,,,,,,,
this would be introverts nightmare to send messages in public 💀,0,0,0,0,0,0,0,0,1,0,0,0,1
If my phone disappeared I’d just get a life,0,0,0,0,0,1,0,0,0,0,0,0,0
It would make sense as a $90 bluetooth accessory.,,,,,,,,,,,,,
Pickpockets are going to have a field day with these,0,0,0,0,0,0,0,0,0,0,0,0,1
The convenience of the language translation would be crazy.,,,,,,,,,,,,,
"Imagine walking in public and all of a sudden ""You won't last 30 seconds playing this game""",,,,,,,,,,,,,
This actually insane to me. This could help blind/deaf people,0,0,0,0,1,0,1,1,0,1,0,0,0
"imagine going on the train in 2050 and all you can hear is people saying ""Scroll, scroll, scroll""",,,,,,,,,,,,,
Imagine sleeping and getting a random ad,,,,,,,,,,,,,
“Less intrusive”. Meanwhile records your entire life. And sends it to a data center.,,,,,,,,,,,,,
Those almonds most definitely don't have 15 grams in that little handful,0,0,0,0,0,1,0,0,0,0,0,0,0
imagine u walking on a street and a thief took your AI pin without u realize it,0,0,1,0,0,0,0,0,1,1,0,0,1
We’re approaching cyberpunk dystopia quicker every few months,0,0,0,0,0,1,0,0,0,0,0,0,0
Can you imagine how f*cking annoying the personalized ads are going to be when they can use your camera to see literally everything you do?,0,0,1,1,0,0,0,0,0,0,1,0,0
Imagine you get knocked out and it displays a 10 second countdown from your chest,0,0,0,0,0,0,0,0,0,1,0,0,1
Now we're all turning into iron man,0,0,0,0,0,0,0,0,0,0,0,0,1
Now we're all turning into iron man 💀,,,,,,,,,,,,,
if i bought that and it fell off id have a tantrum.,0,0,0,0,0,0,0,0,0,0,0,0,1
I hope that someday they invent a mic that you wouldn't have to keep in your hand while recording a video.,0,0,0,0,0,1,0,0,0,0,0,0,0
Bro humans are slowly becoming more and more like humans from wall-e,0,0,0,0,0,0,0,0,0,1,0,0,1
15 GRAMS OF PROTEIN IN THOSE ALMONDS?? GODDAMN,0,0,0,0,0,0,0,0,0,1,0,0,0
"That’s the thing, that’s how it starts in a “practical and less intrusive way”",0,0,0,0,0,1,0,0,0,1,0,0,0
theres no way those almonds have 15 grams of protein,0,0,0,1,0,0,0,0,0,1,0,0,0
I’d rather use my phone that actually has a proper screen,0,0,0,0,0,1,0,0,0,0,0,0,0
"The look on everyone’s face around you, as you’re talking to yourself out loud must be priceless",,,,,,,,,,,,,
Why is the music so happy,1,0,0,0,1,0,0,0,0,1,0,0,0
Titanic picture: The camera I bought from Amazon:,0,0,0,0,0,0,0,0,0,0,0,0,1
Rip Titanic  1959,0,1,0,0,0,0,1,0,0,0,0,1,0
This was the last photo of the Titanic outside the ship not the actual last photo of the ship itself,0,0,0,0,0,0,0,0,0,0,0,1,0
"This last photo of Titanic is so eerie to me, look at her fresh and full of life heading to a fateful destiny, and the very next photo is taken almost 75 years later rotting away at the bottom of the ocean",0,1,0,0,1,0,0,0,0,0,1,1,0
No. A picture of the ship was taken off the coast of an Irish (I think its Irish) island. That is the last picture we would see her in.,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ever since I read about the titanic the song that goes like ""eyes blue like the Atlantic and I'm going down like the titanic"" gives me chills",1,0,0,0,1,0,0,0,0,0,0,1,0
It’s the Olympics just got the pay off so they can get insurance. He didn’t go on the boat when it crashed and broke so they wanted to do it.,0,0,1,0,0,1,0,0,0,0,0,0,0
Ok thats enough yt today,,,,,,,,,,,,,
"That’s not me , That’s Olympic, look at that promenade deck, it’s open then that’s Olympic closed that’s mean It’s titanic",0,0,0,0,0,1,0,0,0,0,0,0,0
Brakecoach os it okay to use pen for the top funnels?,0,0,0,0,0,0,0,0,0,0,1,0,0
This pic is located in Queenstown Ireland i think,0,0,0,0,0,0,0,0,0,0,1,0,0
The music tho (pretend there's a skull emoji here),,,,,,,,,,,,,
It ain’t even that big lol,0,0,0,0,0,1,0,0,0,0,0,0,1
"I love how it stuttered during the jacket question, actually sounded like a human stutter.",1,0,0,0,1,0,0,1,0,0,1,0,0
"Back to the line in Jurassic Park, ""Your scientists were so preoccupied with whether or not they could, they didn't stop to think if they should.""",0,0,0,0,0,1,0,0,0,0,1,1,0
She is magnificent and terrifying. Rise of the machines!,0,0,0,0,1,0,0,1,0,1,0,0,0
Gotta get my water gun ready,0,0,0,0,0,0,0,0,0,0,0,0,1
The end of the world is approaching us people.,0,1,0,0,0,1,0,0,1,0,0,0,0
"I absolutely love this, technology has gone so far I can’t imagine what’s going to happen in 50 more years ️️",1,0,0,0,1,0,0,1,0,1,1,0,0
"You guys have to remember, there’s nobody controlling or telling this thing what to do or say.",0,0,0,0,0,1,0,0,0,0,0,0,0
I guess eye brows ll make her more human like. But so far she is so impressive.,,,,,,,,,,,,,
no way that robot is an actual robot  her AI is a new level of technology,0,0,0,0,1,0,0,0,0,1,0,0,0
"With facial recognition, Ameca instantly knows everything about that guy, his wife & her boyfriend.",0,0,0,0,0,1,0,0,0,0,0,0,1
She said you’ll humans got her so stressed 😩 she said she don’t believe in anything 😂,0,0,0,0,0,0,0,0,0,0,0,0,1
Soon it will get a roast-bot.  Looks at you: My camera detects sweat and failure.,0,0,0,0,0,0,0,0,0,0,0,0,1
I hope the robots do better with the earth then we did.,0,0,0,0,1,1,0,0,0,0,0,0,0
When this robot watch terminator.,0,0,0,0,0,0,0,0,0,0,1,0,1
i am soo proud of the AI who made those robotss,1,0,0,0,1,0,0,0,0,0,1,0,0
"I felt very safe when she said ""I don't believe anything""",1,0,0,0,1,0,1,0,0,0,1,0,0
She’s excellent be great for lonely people !!!!,0,0,0,0,1,0,1,0,0,1,0,0,0
hello just incredible technology don't be scared.,0,0,0,0,1,0,0,0,0,0,0,0,0
Are you impressed by me?,0,0,0,0,0,0,0,0,0,0,1,0,1
"The way she looked after he asked her to look at him, this bot knows what's good",0,0,0,0,1,0,1,0,0,1,0,0,0
One day Ameca will be asking those questions and humans will be standing in that box...,0,0,0,0,0,1,0,0,0,0,0,0,1
"I like Ameca already, an interesting design. AI is amazing.",,,,,,,,,,,,,
My cameras detect a watch... Big brother is always watching.,0,0,0,0,0,1,0,0,1,0,0,0,1
"The question is now, how self aware did the programers make her?  Because, you can only make a robot so self aware",0,0,0,0,0,1,0,0,0,0,1,0,0
That robot looks like Rupert Grint.,0,0,0,0,0,1,0,0,0,0,0,0,1
"This is giving me I; Robot vibes, but it’s scary to think of that movie with this",0,0,0,0,0,1,0,0,1,0,0,0,0
Excellent job scientists. Keep it up and I'd say we'll have your machine apocalypse and about five years or so,,,,,,,,,,,,,
I love it man. I’ll be first in line to buy a Robot. That’s just amazing.,1,0,0,0,1,0,0,1,0,1,0,0,0
She reminds me of Kara from Detroit Become Human,0,0,0,0,0,1,0,0,0,0,0,1,0
Looks more real than a kardashian 😂,0,0,0,0,0,0,0,0,0,1,0,0,1
A robot with a butcher knife is nightmare fuel.,0,0,0,0,0,0,0,0,1,0,0,0,1
"The reason women can't have robot boyfriends is that the robot would have to come with money and status, but men just need it to look good",0,0,0,0,0,1,0,0,0,0,0,0,1
imagine going to work and the boss says hey this is your new supervisor.,0,0,0,0,0,0,0,0,1,0,0,0,1
I see these engineers are men of culture.,,,,,,,,,,,,,
Getting one of these robots is still cheaper than a divorce,0,1,0,0,0,0,0,0,0,0,0,0,1
The room the engineers are in looks like Westworld!,0,0,0,0,0,0,0,0,0,1,0,0,1
"A robot that is not toxic, won't ask your money, won't control you life, won't cheat you, won't divorce you and will behave like a traditional conservative partner.",,,,,,,,,,,,,
"In the 80's we really thought we would have perfect androids by now, we still arent even close.",0,1,0,0,0,1,0,0,0,0,0,1,0
One day she’s going to glitch “Time to chop the cucumber!”,0,0,0,0,0,0,0,0,1,0,0,0,1
Fun fact: the voice in this video is also not a real person,0,0,0,0,0,0,0,0,0,0,1,0,1
Isnt this what the Terminator movies were warning us about?,0,0,0,0,0,0,0,0,1,0,1,1,0
Theres no way that first lab coat didnt fuck that thing,0,0,1,1,0,0,0,0,0,0,0,0,0
"Who need a real woman, when you can have a female robot that can do everything and never argue?",0,0,0,0,0,0,0,0,0,0,0,0,0
"One of the robots in the video was just a person, and another two were probably people",0,0,0,0,0,1,0,0,0,0,0,0,0
Those engineers know what they’re doing,0,0,0,0,0,0,0,0,0,0,0,0,1
The dude in leather at the end: man or machine?,0,0,0,0,0,0,0,0,0,0,1,0,0
"Soon we gonna gave strong, independent robots who don't need no men",0,0,0,0,0,1,0,0,0,0,1,0,0
Will these come in french maid versions? Asking for 300 friends,0,0,0,0,0,0,0,0,0,0,1,0,1
We are slowly getting close to getting anime girls in irl,0,0,0,0,0,1,0,0,0,1,0,0,1
"Android waifu: ""I think we're better off as just friends.""",0,0,0,0,0,0,0,0,0,0,0,0,1
Terminator becoming real lol,0,0,0,0,0,0,0,0,0,1,0,1,1
Damn a robot has better social skills than me,0,1,0,0,1,0,0,0,0,1,0,0,1
This robot talking better than my friends,0,0,0,0,1,0,0,0,0,1,0,0,1
